caseTypeEnum,caseType,catgCsvPath,appNoteTypes,statusSchema,replyNoteType,toplvlCatgOnly
Learning,ZLSS,,ZSF1|S001,ZL,ZSF1,true
HR_Mobility,ZMOB,,,,,false
